Product,price,Shipping_cost
Samsung Galaxy Note 9 N960U GSM Factory Unlocked 128GB Smartphone -  Image Burn,$139.99,53.24
Samsung Galaxy S10 128GB G973U Unlocked with LCD Shadows - Excellent,$129.99,29.90
"Samsung  A34 5G - 128GB+6GB & 256GB+8GB (GSM Unlocked) Dual Sim 6.4"" Display-NEW",$259.99 to $279.99,35.09
Samsung Galaxy S20 S20+ S20 FE S20 Ultra 5G 128GB 512GB Unlocked Verizon AT&T,$184.95 to $274.95,26.91
Samsung Galaxy Z Flip3 5G SM-F711U - 128GB - Cream (Unlocked),$99.00,45.21
Samsung Galaxy Z Fold3 5g 512gb unlocked READ DESCRIPTION,$240.50,41.54
"Samsung Galaxy A15 5G (128GB, 6GB) 6.5""  SM-A156U Metro by Tmobile",$149.99,31.26
Samsung Galaxy S21 5G 128GB 256GB Unlocked Android Smartphone | Dead Pixel,$189.99,31.67
Samsung Galaxy S20 FE 5G 128GB SM-G781V (Verizon Unlocked) Good Read,$169.99,31.08
New In Box Samsung Galaxy Note 20 5G SM-N981 128GB Unlocked ATT T-Mobile Verizon,$284.99,35.24
Samsung Galaxy A13 5G SM-A136U 64GB Black Unlocked T-Mobile Metro FedEx 2 Day,$79.99 to $109.99,28.42
Samsung Galaxy A05 A055M 64GB 4GB RAM GSM Unlocked International Version (New),$111.99,30.14
"New Listing""Warning"" LOT of 5 Samsung Galaxy A21/A12/A025/A01  Smartphone - Mix Carrier",$145.99,51.13
Samsung Galaxy S23 Ultra (S918B) 256GB 8GB RAM GSM Unlocked International NEW,$899.99 to $909.99,52.61
NEW Samsung Galaxy S9+ PLUS G965U 64GB GSM Unlocked AT&T T-Mobile Metro Verizon,$199.88,32.73
New ListingSamsung Galaxy Z Flip4 128GB (T-Mobile) - Bora Purple Last One Read Description,$66.00,37.38
"Grade B Good! GSM Unlocked 6.5"" Samsung Galaxy A13 5G / SM-A136U / 64GB Black",$89.00,28.69
Samsung Galaxy S20+ Plus 5G Unlocked G986U 128GB Android Smartphone,$156.00,30.66
New ListingSAMSUNG GALAXY S20+ PLUS 5G 128 GB UNLOCKED  GRAY BRAND NEW,$220.11,45.13
"Samsung Galaxy Beam2 SM-G3858 Smartphone 4.66"" 5MP 3G with Built-in Projector",$149.91,ree s
Samsung Galaxy S10 SM-G973U Verizon Unlocked 128GB Black C Heavy Burn,$89.99,28.72
Samsung Galaxy S22+ 256GB T-Mobile Clean ESN,$325.00,40.80
Samsung Galaxy S23 Ultra 256GB 512GB 1TB 12GB RAM Unlocked New All Colours NEW,"$1,018.76 to $1,194.85",55.42
SAMSUNG GALAXY S23 5G S911U1 128GB 256GB (FACTORY UNLOCKED) ALL COLORS ❖SEALED❖,$578.95 to $649.95,44.47
Samsung Galaxy Z Flip 3 5G F711U1 Factory Unlocked 128GB Green C Heavy Scratch,$159.99,30.78
"Samsung Galaxy S23 FE 256GB 8GB RAM (FACTORY UNLOCKED) 6.4"" 50MP",$399.00,38.60
Samsung Galaxy S10e SM-G970U 128GB+6GB Factory Unlocked Smartphone - New Sealed,$194.75,ree s
FULLY UNLOCKED ⭐ Samsung Galaxy A42 5G 128GB Black ⭐  THANKSGIVING SALES,$135.00,30.82
EXCELLENT Samsung Galaxy S21 Ultra 5G G998U 128/512GB UNLOCKED,$379.95,37.27
Samsung Galaxy Z Fold4 - 256GB - Graygreen (Unlocked) (MUST READ DESCRIPTION),$135.50,30.06
SAMSUNG GALAXY S23+ PLUS 5G S916U1 256GB│512GB (FACTORY UNLOCKED) ⚫️⚪️🟣❖SEALED❖,$738.95 to $869.95,47.86
Samsung Galaxy Z Fold 5 SM-F946U1 Factory Unlocked 512GB Phantom Black OPEN BOX,$979.99,54.97
"New ListingLOT of 4 Samsung Galaxy s6, s7, s8's NR",$12.50,35.38
Samsung Galaxy Xcover6 Pro SM-G736U - 128GB - Black (Unlocked),$104.77,36.01
New ListingSamsung Galaxy S21 FE 5G SM-G990U2  128GB AT&T Only Gray Android -Excellent,$153.00,30.58
Samsung Galaxy S21 5G Unlocked G991U 128GB Android Smartphone,$179.00,31.34
✨Unlocked Samsung Galaxy A51 5G✨128GB Blue SM-A516U - Excellent,$125.00,29.75
Samsung Galaxy A12 32GB 64GB 128GB - All Colours - Dual SIM - Unlocked - Good,$113.13,24.17
