store_name,location,rating
العربية للعود,طريق الإمام سعود بن عبدالعزيز بن محمد، النخيل، الرياض 12381، المملكة العربية السعودية,4.4
العربية للعود,طريق الأمير نايف بن عبدالعزيز، الملك فهد، الرياض 12273، المملكة العربية السعودية,4.1
العربية للعود,السويدي العام، سلطانة، الرياض 12777، المملكة العربية السعودية,4.3
العربية للعود,pm9c+xhj، شارع العليا، الورود، الرياض 12215، المملكة العربية السعودية,4.3
العربية للعود,طريق الملك فهد الفرعي، العليا، المملكة،، الرياض 12214، المملكة العربية السعودية,3.7
العربية للعود,6426 طريق ابن تيمية، الشفا، الرياض 14713، المملكة العربية السعودية,4.2
العربية للعود فرع الوادي مخرج ٧,"حي, طريق عثمان بن عفان الفرعي، الوادي، الرياض 13313، المملكة العربية السعودية",4.0
arabian oud,الملقا، طريق الامام سعود بن فيصل الفرعي المملكة العربية السعودية,4.2
العربية للعود,طريق الملك عبدالعزيز، طويق، محافظة المزاحمية 19671، المملكة العربية السعودية,3.9
العربية للعود,طريق المدينة المنورة، ظهرة البديعة، الرياض 12982، المملكة العربية السعودية,3.7
arabian oud,rqaa8666 3801 شبه الجزيرة، السعادة، الرياض 14255، المملكة العربية السعودية,4.4
العربية للعود,المشتل، الحزم، الرياض 14964، المملكة العربية السعودية,4.0
العربية للعود,الاندلس، الرياض 11564، المملكة العربية السعودية,3.0
العربية للعود,6774 طريق الأمير محمد بن سلمان بن عبدالعزيز، قرطبة، 3548، الرياض 13247، المملكة العربية السعودية,3.4
العربية للعود,قرطبة، الرياض 13244، المملكة العربية السعودية,4.3
العربية للعود فرع الازدهار,"طريق عثمان بن عفان, حي الازدهار، الرياض 12485، المملكة العربية السعودية",3.8
العربية للعود,طريق المدينة المنورة، العريجاء الوسطى، الرياض 12768، المملكة العربية السعودية,4.2
العربية للعود,ظهرة لبن، الرياض 12411، المملكة العربية السعودية,3.5
العربية للعود,8077 شارع الإمام أبي حنيفة، العريجاء الغربية، 3129 الامام ابي حنيفة،، الرياض 12966، المملكة العربية السعودية,3.9
العربية للعود,شارع عباس بن قيس، أم الحمام الغربي، الرياض 12322، المملكة العربية السعودية,4.0
العربية للعود,طريق الامام سعود بن عبدالعزيز بن محمد الفرعي، المرسلات، الرياض 12464، المملكة العربية السعودية,3.8
العربية للعود 23,2591 الامام تركي بن عبدالله بن محمد، الديرة، الرياض 12634، المملكة العربية السعودية,4.1
