,jop_title,company_name,city,job_type
378,Senior Audio Visual Technician, Expo City Dubai , Dubai,Full Time
379,Design Specialist, NEOM , Riyadh,Internship
380,Graphic Designer, Financial Gym , Cairo,Freelance / Project
381,Art Director, webook.com | We're All About Fun , Riyadh,Part Time
382,Senior UI/UX Designer, Nawy Company , Cairo,Full Time
383,Freelance Senior Branding Designer, M&C Saatchi Group , Dubai,Part Time
384,Senior Design Specialist, AIM World Services , Kuwait City,Full Time
385,Graphic Designer, AtkinsRéalis , Riyadh,Part Time
386,Producer, TAIT , Dubai,Internship
387,Graphic Designer- Intern, dentsu , Riyadh,Full Time
388,Senior Design Engineer, Hill International (Middle East) Limited , Riyadh,Part Time
389,Department Manager - Project Controls (E1), Hill International (Middle East) Limited , Riyadh,Full Time
390,Junior Helpdesk Coordinator, ITP Media Group , Riyadh,Internship
391,Director of Marketing & Communications, WSP in the Middle East , Dubai,Internship
392,E-Learning Instructional Design Specialist, Qatar Airways , Doha,Internship
393,Creative Director, AKQA , Riyadh,Full Time
394,User Experience Designer, TheTalentPoint | Jobs in UAE & Middleeast , Dubai,Full Time
395,Temp Graphic Designer, dmg events , Dubai,Full Time
396,Senior Graphic Designer, TIS (Tech for Integrated Services) by EXA , Cairo,Part Time
397,Senior UI/UX Designer, Abu Dhabi Islamic Bank , Dubai,Full Time
398,Multimedia Manager, Bayut.com , Dubai,Part Time
399,Senior Graphic Designer, Klivvr , Cairo,Internship
400,Senior Product Designer, Klivvr , Cairo,Full Time
401,Senior Design Manager - Water Park, WSP in the Middle East , Riyadh,Part Time
402,Product Designer, Klivvr , Cairo,Freelance / Project
403,Motion Designer, Klivvr , Cairo,Internship
404,Graphic User Interface Designer, TheTalentPoint | Jobs in UAE & Middleeast , Dubai,Internship
405,Mid Senior Exhibitions & Events Designer, Electra Exhibitions LLC , Dubai,Part Time
406,Senior Graphic Designer, Prezlab , Dubai,Internship
407,Media Director, Wavemaker MENA , Dubai,Freelance / Project
408,Senior Graphic Designer, Blackstone eIT , Cairo,Freelance / Project
409,BIM Coordinator (Buildings), Parsons Corporation , Riyadh,Full Time
410,BIM Coordinator, DAR ENGINEERING , Cairo,Full Time
411,Senior Interior designer, Homzmart , Cairo,Part Time
412,Senior Environment Health & Safety Advisor, SGS Société Générale de Surveillance SA , Cairo,Full Time
413,Media Director, Business Science , Dubai,Part Time
414,Senior Design Manager - MEP, Jones Lang LaSalle IP,,Freelance / Project
415,Creative Producer, Project Growth , Cairo,Freelance / Project
416,Graphic Designer, Project Growth , Cairo,Part Time
417,Senior Design Engineer, Honeywell , Cairo,Part Time
418,Stylist, Chloé , Dubai,Freelance / Project
419,Urban Designer (Saudi National), Parsons Corporation , Al Jawf,Freelance / Project
420,Design Architect, Skidmore,,Internship
421,IT Director, GatedTalent , Connecting Top Executive Search Firms And Executives - Dubai,Internship
422,Landscape Architect, AtkinsRéalis , Cairo,Internship
423,Senior Product Designer, Qoyod , قيود - Cairo,Freelance / Project
424,Motion Designer, BFL Group , Dubai,Internship
